VSTS PAGES,,,
Search Engine,Keyword,Query URL,Notes
VSTS Assigned to Me,vassigned,https://amtrust.visualstudio.com/Amtrust/_queries,
VSTS Build,vbuild,https://amtrust.visualstudio.com/Amtrust/_build,
VSTS Git,vgit,https://amtrust.visualstudio.com/Amtrust/_git/,
VSTS Pull Requests,vpr,https://amtrust.visualstudio.com/_pulls,
VSTS Releases,vrelease,https://amtrust.visualstudio.com/Amtrust/_release,
VSTS {team name} Sprint Board,v{team name},https://amtrust.visualstudio.com/Amtrust/SRD-CPS%20{team name}%20(D)/_backlogs/Taskboard,"For team PSI you also need to replace ""SRD-CPS"" in the URL with ""SRD-MSFT"""
VSTS {team name} Story Backlog,v{team name}backlog,https://amtrust.visualstudio.com/Amtrust/SRD-CPS%20{team name}%20(D)/_backlogs?level=Stories&showParents=false&_a=backlog,"For team PSI you also need to replace ""SRD-CPS"" in the URL with ""SRD-MSFT"""
VSTS {team name} Dashboard,v{team name}dash,https://amtrust.visualstudio.com/Amtrust/SRD-CPS%20{team name}%20(D),"For team PSI you also need to replace ""SRD-CPS"" in the URL with ""SRD-MSFT"""
VSTS Task Search,vtask,"javascript: (function() { var val= prompt(""Enter Task Number"",""""); if (val) location=""https://amtrust.visualstudio.com/Amtrust/_workitems?id=""+escape(val)+""&_a=edit""; })()",
,,,
,,,
EXCEPTION TRACKING,,,
Search Engine,Keyword,Query URL,Notes
Exception Tracker by ID Dev,etdev,"javascript: (function() { var val= prompt(""Enter Dev Exception ID:"",""""); if (val) location=""http://cle-58jchx1:12345/?environmentName=Develop&trackerId=""+escape(val); })()
",Retrieves the exception details for a specific exception ID in Dev.
Exception Tracker by ID UserTest,etut,"javascript: (function() { var val= prompt(""Enter UserTest Exception ID:"",""""); if (val) location=""http://cle-58jchx1:12345/?environmentName=User%20Test&trackerId=""+escape(val); })()",Retrieves the exception details for a specific exception ID in UserTest.
Exception Tracker by ID Prod,etprod,"javascript: (function() { var val= prompt(""Enter Production Exception ID:"",""""); if (val) location=""http://cle-58jchx1:12345/?environmentName=Production&trackerId=""+escape(val); })()",Retrieves the exception details for a specific exception ID in Production.
Exception Tracker by AppName Dev,etdevapp,"javascript: (function() { var val= prompt(""Enter Dev AppName:"",""""); if (val) location=""http://cle-58jchx1:12345/?environmentName=Develop&systemName=""+escape(val)+""&pageSize=50""; })()","Retrieves 50 most recent exceptions in Dev for a specific AppName. Retrieved amount can be altered by changing ""&pageSize=50""."
Exception Tracker by AppName UserTest,etutapp,"javascript: (function() { var val= prompt(""Enter UserTest AppName:"",""""); if (val) location=""http://cle-58jchx1:12345/?environmentName=User%20Test&systemName=""+escape(val)+""&pageSize=50""; })()","Retrieves 50 most recent exceptions in UserTest for a specific AppName. Retrieved amount can be altered by changing ""&pageSize=50""."
Exception Tracker by AppName Prod,etprodapp,"javascript: (function() { var val= prompt(""Enter Production AppName:"",""""); if (val) location=""http://cle-58jchx1:12345/?environmentName=Production&systemName=""+escape(val)+""&pageSize=50""; })()","Retrieves 50 most recent exceptions in Production for a specific AppName. Retrieved amount can be altered by changing ""&pageSize=50""."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
